"id","artwork_title","start_year","end_year","Esfera","Caixa","Argolas","Trilho","Taça","Taça_quebrada","Desenho/Fotografia","Cachimbo","Tabela_astronômica","Palavras","Caixa_dentro_da_caixa","Pássaro","Concha","Pedaços_de_madeira","Colagem","Espiral","Gradil/Compartimentação","Gaveta","Relógio/Bússola","Hotel","Areia","Pilar","Grade_de_arame","Médici","Frascos","Dispensador_de_areia","Boneca","Cubos_de_vidro","Folhas/pétalas"
1,"Untitled",1930,1930,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2,"Untitled_(Shell)",1930,1930,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
3,"Untitled",1930,1930,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
4,"Untitled",1930,1930,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1
5,"Untitled",1930,1930,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
6,"Untitled",1930,1930,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
7,"Untitled",1930,1930,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,"Untitled",1932,1932,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
9,"Untitled",1932,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Coup_d’Oeil_(Bird’s-Eye_View)",1932,1932,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
11,"Untitled_(Coup_d’Oeil)",1932,1932,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
12,"Jouet_Surrealiste",1932,1932,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
13,"Untitled_(Object)",1933,1933,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
14,"""Untitled_(Black_Hunter),_c._1939",1934,1944,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
15,"""Untitled_(For_Tamara_Toumanova),_c._1940",1935,1945,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"""Untitled_(For_Tamara_Toumanova),_c._1940",1935,1945,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
17,"""Untitled_(Harlequin),_1935/38",1935,1945,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
18,"""Untitled_(Butterfly_Habitat),_c._1940",1935,1938,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
19,"Object/​Tower_of_Babel_and_Children_of_Israel",1938,1938,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Untitled_(Fortune-Telling_Parrot_for_Carmen_Miranda)",1939,1939,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1
21,"Untitled_(To_Marguerite_Blachas)",1939,1939,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,
22,"Untitled_(Fortune-Telling_Parrot_for_Carmen_Miranda)",1939,1940,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1
23,"Voyages_Circulaires_(Hotel_des_4_Soeurs)",1939,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Bel_Echo_Gruyere",1939,1939,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
25,"Défense_d’Afficher_(Object)_(Post_No_Bills)",1939,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"untitled_(small_slipcase_object)",1939,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Untitled_(Bébé_Marie)",1940,1940,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
28,"Taglioni's_Jewel_Casket",1940,1940,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,
29,"Untitled_(miniature_pill_box)",1940,1940,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
