"id_origem","label_origem","id_destino","label_destino","id_document"
1,"Marcel Duchamp",2,"Suzanne Duchamp",1
1,"Marcel Duchamp",3,"Charles Desmares",1
2,"Suzanne Duchamp",3,"Charles Desmares",1
1,"Marcel Duchamp",4,"Jacques Villon",2
1,"Marcel Duchamp",5,"Louis Vauxcelles",2
1,"Marcel Duchamp",6,"Raymond Duchamp-Villon",2
4,"Jacques Villon",5,"Louis Vauxcelles",2
4,"Jacques Villon",6,"Raymond Duchamp-Villon",2
1,"Marcel Duchamp",7,"Walter Pach",3
1,"Marcel Duchamp",8,"Magdaleine Frohberg",3
7,"Walter Pach",8,"Magdaleine Frohberg",3
7,"Walter Pach",6,"Raymond Duchamp-Villon",3
7,"Walter Pach",9,"Yvonne Duchamp",3
1,"Marcel Duchamp",10,"Gaby Villon",3
1,"Marcel Duchamp",11,"Constantin Brancusi",3
7,"Walter Pach",11,"Constantin Brancusi",3
1,"Marcel Duchamp",9,"Yvonne Duchamp",3
7,"Walter Pach",4,"Jacques Villon",3
1,"Marcel Duchamp",7,"Walter Pach",4
7,"Walter Pach",6,"Raymond Duchamp-Villon",4
7,"Walter Pach",4,"Jacques Villon",4
7,"Walter Pach",12,"Robert Delaunay",4
1,"Marcel Duchamp",12,"Robert Delaunay",4
1,"Marcel Duchamp",7,"Walter Pach",5
1,"Marcel Duchamp",13,"Frederic C. Torrey",5
7,"Walter Pach",13,"Frederic C. Torrey",5
1,"Marcel Duchamp",7,"Walter Pach",6
7,"Walter Pach",4,"Jacques Villon",6
7,"Walter Pach",6,"Raymond Duchamp-Villon",6
1,"Marcel Duchamp",14,"Francis Picabia",6
7,"Walter Pach",14,"Francis Picabia",6
1,"Marcel Duchamp",15,"Georges Ribemont-Dessaignes",6
7,"Walter Pach",15,"Georges Ribemont-Dessaignes",6
1,"Marcel Duchamp",7,"Walter Pach",7
7,"Walter Pach",16,"Arthur B. Davies",7
7,"Walter Pach",17,"Walt Kuhn ",7
1,"Marcel Duchamp",7,"Walter Pach",8
1,"Marcel Duchamp",18,"Alexandre Mercerau",8
1,"Marcel Duchamp",19,"Albert Gleizes",8
1,"Marcel Duchamp",7,"Walter Pach",9
1,"Marcel Duchamp",20,"John Quinn",9
7,"Walter Pach",20,"John Quinn",9
1,"Marcel Duchamp",17,"Walt Kuhn ",9
20,"John Quinn",17,"Walt Kuhn ",9
1,"Marcel Duchamp",21,"Frederick James Gregg",9
20,"John Quinn",21,"Frederick James Gregg",9
17,"Walt Kuhn ",21,"Frederick James Gregg",9
1,"Marcel Duchamp",20,"John Quinn",10
1,"Marcel Duchamp",22,"Bella Greene",10
20,"John Quinn",22,"Bella Greene",10
1,"Marcel Duchamp",2,"Suzanne Duchamp",11
1,"Marcel Duchamp",20,"John Quinn",12
1,"Marcel Duchamp",2,"Suzanne Duchamp",13
1,"Marcel Duchamp",23,"Jean Crotti",13
2,"Suzanne Duchamp",23,"Jean Crotti",13
23,"Jean Crotti",24,"Yvonne Chastel",13
1,"Marcel Duchamp",24,"Yvonne Chastel",13
1,"Marcel Duchamp",25,"Bernard Naudin",13
2,"Suzanne Duchamp",25,"Bernard Naudin",13
1,"Marcel Duchamp",26,"Katherine Dreier",14
1,"Marcel Duchamp",2,"Suzanne Duchamp",15
2,"Suzanne Duchamp",23,"Jean Crotti",15
1,"Marcel Duchamp",27,"Ettie Stettheimer",16
1,"Marcel Duchamp",28,"Carrie Stettheimer",16
