"id_doc","type","name","place","date","link"
1,"Letter","Marcel Duchamp to Suzanne Duchamp","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1912/March/15","NA"
2,"Letter","Marcel Duchamp to Jacques Villon and family","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1912/September/26","NA"
3,"Letter","Marcel Duchamp to Walter Pach","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1915/January/19","NA"
4,"Letter","Marcel Duchamp to Walter Pach","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1915/March/12","NA"
5,"Letter","Marcel Duchamp to Walter Pach","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1913/July/2","NA"
6,"Letter","Marcel Duchamp to Walter Pach","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1915/April/2","NA"
7,"Letter","Marcel Duchamp to Walter Pach","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1915/April/27","NA"
8,"Letter","Marcel Duchamp to Walter Pach","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1915/May/21","NA"
9,"Letter","Marcel Duchamp to Walter Pach","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1915/July/28","NA"
10,"Letter","Marcel Duchamp to John Quinn","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1915/November/5","NA"
11,"Letter","Marcel Duchamp to Suzanne Duchamp","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1916/January/15","NA"
12,"Letter","Marcel Duchamp to John Quinn","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1916/March/15","NA"
13,"Letter","Marcel Duchamp to Suzanne Duchamp","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1916/October/17","NA"
14,"Letter","Marcel Duchamp to Katherine Dreier","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1917/April/11","NA"
15,"Letter","Marcel Duchamp to Suzanne Duchamp","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1917/April/11","NA"
16,"Letter","Marcel Duchamp to Ettie Stettheimer","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1917/August/9","NA"
17,"Letter","Marcel Duchamp to Louise Arensberg","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1917/August/24","NA"
18,"Letter","Marcel Duchamp to Carrie, Ettie and Florine Stettheimer","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1917/October/8","NA"
19,"Letter","Marcel Duchamp to Jean Crotti","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1918/July/8","NA"
20,"Letter","Marcel Duchamp to Henri-Pierre Roché","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1918/August/11","NA"
21,"Letter","Marcel Duchamp to Francis Picabia","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1918/August/13","NA"
22,"Letter","Marcel Duchamp to Louise and Walter Arensberg","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1918/August/21","NA"
23,"Letter","Marcel Duchamp to Carrie, Ettie and Florine Stettheimer","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1918/September/20","NA"
24,"Letter","Marcel Duchamp to Louise and Walter Arensberg","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1918/November/8","NA"
25,"Letter","Marcel Duchamp to Carrie, Ettie and Florine Stettheimer","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1918/November/12","NA"
26,"Letter","Marcel Duchamp to Walter Pach","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1918/November/15","NA"
27,"Letter","Marcel Duchamp to Louise Arensberg","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1919/January/7","NA"
28,"Letter","Marcel Duchamp to Carrie, Ettie and Florine Stettheimer","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1919/January/13","NA"
29,"Letter","Marcel Duchamp to Louise and Walter Arensberg","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1919/March/","NA"
30,"Letter","Marcel Duchamp to Carrie, Ettie and Florine Stettheimer","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1919/May/3","NA"
31,"Letter","Marcel Duchamp to Walter Pach","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1919/June/6","NA"
32,"Letter","Marcel Duchamp to Louise and Walter Arensberg","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1919/June/15","NA"
33,"Letter","Marcel Duchamp to Walter Pach","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1919/August/","NA"
34,"Letter","Marcel Duchamp to Constantin Brancusi","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1919/December/27","NA"
35,"Letter","Marcel Duchamp to Jean Crotti and Suzanne Duchamp","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1920/October/20","NA"
36,"Letter","Marcel Duchamp to Francis Picabia","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1921/January/20","NA"
37,"Letter","Marcel Duchamp to Tristan Tzara, Francis Picabia and Germaine Everling","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1921/February/8","NA"
38,"Letter","Marcel Duchamp to Jean Crotti","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1921/May/19","NA"
39,"Letter","Marcel Duchamp to Jean Crotti","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1921/June/1","NA"
40,"Letter","Marcel Duchamp to Ettie Stettheimer","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1921/July/6","NA"
41,"Letter","Marcel Duchamp to Carrie, Ettie and Florine Stettheimer","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1921/September/1","NA"
42,"Letter","Marcel Duchamp to Louise and Walter Arensberg","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1921/November/15","NA"
43,"Letter","Marcel Duchamp to Louise and Walter Arensberg","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1921//","NA"
44,"Letter","Marcel Duchamp to Ettie Stettheimer","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1922/January/3","NA"
45,"Letter","Marcel Duchamp to Henri-Pierre Roché","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1922/February/15","NA"
46,"Letter","Marcel Duchamp to Man Ray","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1922/April/","NA"
47,"Letter","Marcel Duchamp to Alfred Stieglitz","NAUMANN, F. Affectionately, Marcel. Ludion Press, Amserdam","1922/May/17","NA"
