"id_node","label_node",,"gender_por","gender_eng","gender_fren","nationality_por","nationality_eng","nationality_fren","grave_country_por","grave_country_eng","grave_country_fren","occupation_por","occupation_eng","occupation_fren","year_birth","year_death","midpoint"
1,"Marcel Duchamp",,"Masculino","Male","Homme","França","France","France","França","France","France","Artista","Artist","Artiste",1887,1968,
2,"Suzanne Duchamp",,"Feminino","Female","Féminin","França","France","France","França","France","France","Artista","Artist","Artiste",1889,1963,
3,"Charles Desmares",,"Masculino","Male","Homme","França","France","France","NA","NA","NA","Farmacêutico","Pharmaceutical","Pharmaceutique","NA","NA",
4,"Jacques Villon",,"Masculino","Male","Homme","França","France","France","França","France","France","Artista","Artist","Artiste",1875,1963,
5,"Louis Vauxcelles",,"Masculino","Male","Homme","França","France","France","França","France","France","Crítico de arte","Art critic","Critique d'art",1870,1943,
6,"Raymond Duchamp-Villon",,"Masculino","Male","Homme","França","France","France","França","France","France","Artista","Artist","Artiste",1876,1918,
7,"Walter Pach",,"Masculino","Male","Homme","EUA","USA","Etats-Unis","EUA","USA","Etats-Unis","Consultor de arte","Art consultant","Conseiller artistique",1883,1958,
8,"Magdaleine Frohberg",,"Feminino","Female","Féminin","Alemanha","Germany","Allemagne","NA","NA","NA","Artista","Artist","Artiste",1914,1958,
9,"Yvonne Duchamp",,"Feminino","Female","Féminin","França","France","France","NA","NA","NA","NA","NA","NA",1895,1969,
10,"Gaby Villon",,"Feminino","Female","Féminin","NA","NA","NA","NA","NA","NA","NA","NA","NA",1879,1968,
11,"Constantin Brancusi",,"Masculino","Male","Homme","Romênia","Romania","Roumanie","França","France","France","Artista","Artist","Artiste",1876,1957,
12,"Robert Delaunay",,"Masculino","Male","Homme","França","France","France","França","France","France","Artista","Artist","Artiste",1885,1941,
13,"Frederic C. Torrey",,"Masculino","Male","Homme","EUA","USA","Etats-Unis","NA","NA","NA","Art Dealer","Art Dealer","Marchand d'art",1864,1953,
14,"Francis Picabia",,"Masculino","Male","Homme","França","France","France","França","France","France","Artista","Artist","Artiste",1879,1953,
15,"Georges Ribemont-Dessaignes",,"Masculino","Male","Homme","França","France","France","França","France","France","Escritor","Writer","Écrivain",1884,1974,
16,"Arthur B. Davies",,"Masculino","Male","Homme","EUA","USA","Etats-Unis","Itália","Italy","Italie","Artista","Artist","Artiste",1862,1928,
